multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio,evidencia_visual
3,WU 341 A,2022-07-17,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,44.0,,,0.0,False
5,BX 55 DOG,2021-01-21,00:00,94.0,60,AV SIEMPRE VIVA,,ERROR,34.0,31.0,,,0.0,False
8,BP717,2023-01-11,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,7.0,,,0.0,False
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,31.0,29.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/1ca1155083156d72_patente.jpg,OUTSTDN,1.0,True
13,GE 1466,2020-08-12,18:01,75.0,40,AV LIBERTADOR,,IMPAGA,35.0,33.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/a3ad91fabd188be3_patente.jpg,GE14669,0.9231,True
17,57 777 70,2020-01-29,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,51.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/7f56adf4b9306ac9_patente.jpg,5777770,1.0,True
21,BHRP 770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,8.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/321ffb38656f7311_patente.jpg,BHRP770,1.0,True
22,RFH 373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,37.0,,,0.0,False
24,X IIUME,2021-06-12,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,10.0,,,0.0,False
26,HF 58 HXP,2022-11-20,14:01,62.0,40,RUTA 9,,APELADA,22.0,20.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/9a795bbf4e94d630.jpg,HFS8HXP,0.8571,True
31,M43 1ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,60.0,,,0.0,False
35,GE 1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,25.0,,,0.0,False
36,J1S1,1932-01-01,18:01,85.0,40,AV LIBERTADOR,,APELADA,45.0,43.0,,,0.0,False
40,VTII AHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/0e50ea14c4fc1353_patente.jpg,BTIIAHV,0.8571,True
41,66 111 72,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/7a1f9520c7ecd5b1_patente.jpg,B6G11172,0.8,True
44,GCP332,2024-01-26,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,66.0,64.0,,,0.0,False
47,W326 AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,7.0,/content/urban_flow_gem/urban_flow/data/raw/imgs/6c144e47161867c2_patente.jpg,W326AVE,1.0,True
49,810 TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,72.0,,,0.0,False
